Format Version,1.22,Take Name,Calibration_diabolo_green_2020-06-18,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,21 Dec 1969 01:58:15 +0900,Total Frames in Take,223,Total Exported Frames,223,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green
,,"1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
121,1.008333,0.022418,0.904743,0.055408,-0.421745,-0.007911,0.045967,0.042989
122,1.016667,0.022394,0.904748,0.055366,-0.421740,-0.007913,0.045966,0.042989
123,1.025000,0.022417,0.904741,0.055443,-0.421743,-0.007914,0.045967,0.042989
124,1.033333,0.022427,0.904741,0.055381,-0.421750,-0.007913,0.045968,0.042990
125,1.041667,0.022443,0.904724,0.055484,-0.421772,-0.007912,0.045965,0.042992
126,1.050000,0.022413,0.904730,0.055602,-0.421746,-0.007912,0.045965,0.042992
127,1.058333,0.022411,0.904737,0.055558,-0.421737,-0.007912,0.045969,0.042991
128,1.066667,0.022502,0.904724,0.055612,-0.421752,-0.007911,0.045969,0.042989
129,1.075000,0.022549,0.904728,0.055439,-0.421763,-0.007916,0.045971,0.042989
130,1.083333,0.022546,0.904724,0.055358,-0.421784,-0.007917,0.045968,0.042991
131,1.091667,0.022398,0.904735,0.055343,-0.421771,-0.007915,0.045966,0.042993
132,1.100000,0.022438,0.904734,0.055406,-0.421762,-0.007913,0.045967,0.042992
133,1.108333,0.022623,0.904706,0.055617,-0.421784,-0.007913,0.045963,0.042989
134,1.116667,0.022534,0.904719,0.055690,-0.421751,-0.007909,0.045962,0.042988
135,1.125000,0.022412,0.904730,0.055524,-0.421757,-0.007911,0.045963,0.042986
136,1.133333,0.022417,0.904730,0.055385,-0.421775,-0.007913,0.045969,0.042990
137,1.141667,0.022356,0.904748,0.055420,-0.421734,-0.007915,0.045970,0.042991
138,1.150000,0.022331,0.904763,0.055557,-0.421685,-0.007916,0.045968,0.042990
139,1.158333,0.022270,0.904789,0.055250,-0.421673,-0.007916,0.045971,0.042991
140,1.166667,0.022416,0.904753,0.055287,-0.421738,-0.007916,0.045971,0.042993
