,Unnamed: 0_level_0,Unnamed: 1_level_0,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,rot_velocity
,Unnamed: 0_level_1,Unnamed: 1_level_1,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,
,Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,
1924,1924,16.033333,-0.59247381561,0.140522540566,0.152748409596,0.778393291836,0.0889585516587,-0.585910523899,1.23410675787,-0.035955164718,0.525159020948,0.84976917797,0.0284178292526,0.166548152668,0.260005594025,0.786420958284,0.769126906553,0.0148379246372,-0.0301107198258,0.638213900005,0.175561719271,0.0889659306654,1.25376000311,111.390663753
1925,1925,16.041667,-0.60222118564,0.143437379696,0.143052006334,0.772199122737,0.0874932525948,-0.602201023701,1.24060940397,-0.0204412384933,0.849872239525,0.524734959,0.0441877251876,0.166136218359,0.261397664799,0.80022029945,0.768423360558,0.0144539662314,-0.0278840420904,0.639170636063,0.175724691758,0.0895348007701,1.25653890014,111.6318178
1926,1926,16.05,-0.612695156347,0.146416324694,0.132491981178,0.765253409123,0.0858308250618,-0.619093267043,1.24765530609,0.00276952501911,0.994932452967,0.0878448529064,0.0488367236934,0.165478730799,0.261083548337,0.813861356841,0.767633436335,0.0131691520418,-0.0245818514595,0.640282135807,0.175995834713,0.0900762653073,1.25984858988,111.889628274
1927,1927,16.058333,-0.62379408118,0.150393135555,0.121082143609,0.757365145463,0.0838339528808,-0.636687096287,1.25519325729,0.0251917536125,0.928158126343,-0.368723778999,0.0439390811642,0.164725100605,0.258892209865,0.827740592915,0.767092747556,0.0118588874686,-0.0217619176397,0.641057331582,0.176230622802,0.0904944737599,1.26333048394,111.858659737
1928,1928,16.066667,-0.635541680286,0.154642780972,0.108957336039,0.748532351896,0.0816441364889,-0.654845489391,1.26331301789,-0.0400359627836,-0.663399183359,0.746610861662,-0.0295104464811,0.16397067288,0.25509939061,0.842886028011,0.766790643304,0.00968028939975,-0.0184922518906,0.641557821212,0.17651127011,0.0907231331931,1.2671903631,111.947563994
1929,1929,16.075,-0.648361930426,0.158616819652,0.0959742138294,0.73841483055,0.0792067864026,-0.673411611985,1.27226122071,-0.0495642503023,-0.256701501126,0.965170962104,-0.00963007387379,0.163130932034,0.251116073601,0.858574101707,0.766457833127,0.00708591746347,-0.0153201764059,0.642072793386,0.176745388763,0.0907191510214,1.27131397024,112.044218926
1930,1930,16.083333,-0.663172629547,0.162532688968,0.0829888561014,0.72587742643,0.0764507916515,-0.692224026433,1.28185416136,-0.0472018695862,0.205235023439,0.977497549487,0.0122110363308,0.162123876778,0.247193126004,0.874750075815,0.765730514444,0.00389403516926,-0.0121961718902,0.64303411195,0.176976533691,0.0904236110059,1.27582753723,112.17697616
1931,1931,16.091667,-0.679913182461,0.166424728846,0.0695199423914,0.71076567978,0.0733561340699,-0.711272058325,1.29212455737,-0.0335970106066,0.623656953454,0.780330646739,0.0317384159559,0.161174422615,0.243310049067,0.890329011093,0.764435858008,0.000526087230091,-0.00946462039619,0.644630097952,0.177143980212,0.0898237754803,1.28066733893,112.108284503
1932,1932,16.1,-0.69905986833,0.170571116989,0.0557497098368,0.69217971972,0.0699679026976,-0.730512165777,1.30307484915,-0.0151850900746,0.908164724235,0.415911766139,0.0449849917298,0.160554994307,0.238255787148,0.904434627141,0.762333303853,-0.00349027938712,-0.00626425954022,0.647144891689,0.177376106885,0.0889979790236,1.28605123395,112.350559129
1933,1933,16.108333,-0.720756512868,0.173758164808,0.0418579191229,0.669750747612,0.0661674107706,-0.749695718648,1.31481730666,0.00812164033582,0.99808128244,-0.0385487948782,0.0477680124682,0.159764400347,0.231360973492,0.918243402977,0.759249720765,-0.00763039106896,-0.00268983482776,0.650749109441,0.177654703404,0.0880167636391,1.29198505584,112.558120991
