,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3
,,"F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","C5590","C5590","C5590","C56F0","C56F0","C56F0","C54F0","C54F0","C54F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
27,0.225000,,,,,,,,0.646700,0.664416,-0.259957,-0.269726,-0.009222,0.069744,0.050287,,,,,,,,0.027190,0.071086,0.025084,-0.022311,0.070176,0.019480,-0.032545,0.067968,0.106301
28,0.233333,,,,,,,,0.646719,0.664399,-0.259947,-0.269734,-0.009219,0.069740,0.050286,,,,,,,,0.027190,0.071080,0.025087,-0.022308,0.070173,0.019478,-0.032540,0.067967,0.106295
29,0.241667,,,,,,,,0.646653,0.664433,-0.259896,-0.269858,-0.009214,0.069742,0.050288,,,,,,,,0.027191,0.071091,0.025089,-0.022309,0.070183,0.019481,-0.032526,0.067951,0.106299
30,0.250000,,,,,,,,0.646723,0.664395,-0.259990,-0.269692,-0.009211,0.069730,0.050287,,,,,,,,0.027199,0.071067,0.025086,-0.022299,0.070157,0.019474,-0.032534,0.067963,0.106303
31,0.258333,,,,,,,,0.646797,0.664310,-0.259936,-0.269776,-0.009205,0.069730,0.050284,,,,,,,,0.027209,0.071060,0.025078,-0.022300,0.070166,0.019477,-0.032527,0.067963,0.106300
32,0.266667,,,,,,,,0.646670,0.664443,-0.259941,-0.269750,-0.009197,0.069720,0.050279,,,,,,,,0.027213,0.071067,0.025076,-0.022286,0.070153,0.019475,-0.032519,0.067938,0.106289
33,0.275000,,,,,,,,0.646703,0.664409,-0.259970,-0.269724,-0.009200,0.069728,0.050282,,,,,,,,0.027213,0.071069,0.025076,-0.022293,0.070159,0.019478,-0.032525,0.067956,0.106296
34,0.283333,,,,,,,,0.646773,0.664350,-0.259863,-0.269806,-0.009200,0.069720,0.050281,,,,,,,,0.027219,0.071055,0.025078,-0.022296,0.070160,0.019473,-0.032526,0.067942,0.106293
35,0.291667,,,,,,,,0.646886,0.664233,-0.259750,-0.269931,-0.009199,0.069721,0.050281,,,,,,,,0.027230,0.071046,0.025075,-0.022303,0.070173,0.019477,-0.032526,0.067944,0.106293
36,0.300000,,,,,,,,0.646794,0.664334,-0.259870,-0.269787,-0.009202,0.069722,0.050283,,,,,,,,0.027221,0.071057,0.025083,-0.022301,0.070159,0.019474,-0.032529,0.067950,0.106296
37,0.308333,,,,,,,,0.646807,0.664330,-0.259912,-0.269724,-0.009210,0.069732,0.050286,,,,,,,,0.027211,0.071064,0.025082,-0.022306,0.070167,0.019478,-0.032543,0.067968,0.106301
38,0.316667,,,,,,,,0.646843,0.664304,-0.259839,-0.269772,-0.009212,0.069732,0.050284,,,,,,,,0.027213,0.071061,0.025079,-0.022307,0.070172,0.019477,-0.032547,0.067962,0.106297
39,0.325000,,,,,,,,0.647010,0.664133,-0.259801,-0.269830,-0.009209,0.069728,0.050280,,,,,,,,0.027226,0.071035,0.025067,-0.022310,0.070172,0.019479,-0.032547,0.067974,0.106296
40,0.333333,,,,,,,,0.646858,0.664263,-0.259825,-0.269853,-0.009215,0.069733,0.050283,,,,,,,,0.027207,0.071063,0.025078,-0.022315,0.070178,0.019479,-0.032542,0.067960,0.106294
41,0.341667,,,,,,,,0.646815,0.664315,-0.259830,-0.269822,-0.009217,0.069733,0.050279,,,,,,,,0.027208,0.071066,0.025076,-0.022317,0.070175,0.019472,-0.032546,0.067958,0.106291
42,0.350000,,,,,,,,0.646887,0.664247,-0.259785,-0.269861,-0.009221,0.069736,0.050281,,,,,,,,0.027201,0.071060,0.025075,-0.022316,0.070183,0.019480,-0.032553,0.067965,0.106293
43,0.358333,,,,,,,,0.646917,0.664201,-0.259790,-0.269897,-0.009225,0.069740,0.050283,,,,,,,,0.027203,0.071061,0.025074,-0.022328,0.070188,0.019482,-0.032553,0.067972,0.106297
44,0.366667,,,,,,,,0.646874,0.664273,-0.259893,-0.269725,-0.009224,0.069745,0.050285,,,,,,,,0.027202,0.071070,0.025081,-0.022318,0.070179,0.019481,-0.032559,0.067987,0.106298
45,0.375000,,,,,,,,0.646866,0.664272,-0.259864,-0.269773,-0.009226,0.069738,0.050283,,,,,,,,0.027197,0.071063,0.025075,-0.022320,0.070176,0.019480,-0.032558,0.067972,0.106295
46,0.383333,,,,,,,,0.646873,0.664259,-0.259855,-0.269800,-0.009229,0.069742,0.050286,,,,,,,,0.027192,0.071068,0.025078,-0.022322,0.070184,0.019483,-0.032560,0.067978,0.106301
