,Unnamed: 0_level_0,Unnamed: 1_level_0,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right:Marker1,stick_right:Marker1,stick_right:Marker1,stick_right:Marker2,stick_right:Marker2,stick_right:Marker2,stick_right:Marker3,stick_right:Marker3,stick_right:Marker3,stick_right:Marker4,stick_right:Marker4,stick_right:Marker4,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left:Marker1,stick_left:Marker1,stick_left:Marker1,stick_left:Marker2,stick_left:Marker2,stick_left:Marker2,stick_left:Marker3,stick_left:Marker3,stick_left:Marker3,stick_left:Marker4,stick_left:Marker4,stick_left:Marker4,rot_velocity
,Unnamed: 0_level_1,Unnamed: 1_level_1,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,
,Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
18,4110,34.25,-0.122337919541,0.241013027119,0.234890898553,0.933687538729,0.202027939156,-0.372082955038,1.16100582374,0.22432,0.01589,0.895912,0.250964,0.03343,0.909929,0.191117,0.026763,0.944294,0.172073,-0.009013,0.885128,0.0466949298342,-0.563239351251,0.821899374881,-0.0711507856656,0.188707828014,-0.154810097153,0.62140290319,-0.007902,0.162257,0.322216,-0.032598,0.156851,0.279888,-0.107163,0.143779,0.323558,0.855882456646,0.124166595854,0.134591476107,0.483666219038,0.125750465335,0.278824698212,1.37566792938,-0.468986,-0.075208,1.129026,-0.507769,-0.088474,1.061003,-0.452778,-0.077677,1.068947,-0.411379,-0.067083,1.096106,87.67664141
19,4111,34.258333,-0.121169152875,0.24205051319,0.237364514928,0.932945696442,0.200890908589,-0.376108118116,1.16181651289,0.228796,0.01509,0.896878,0.255405,0.032789,0.910762,0.195679,0.025993,0.945312,0.176624,-0.010066,0.886322,0.0201113922328,-0.232301027368,0.968535158886,-0.0870138528488,0.191436381847,-0.138255924152,0.620105232235,-0.03782,0.162948,0.353486,-0.02832,0.163433,0.305109,-0.112467,0.148155,0.287116,0.858080154692,0.119699702818,0.129618993412,0.482254440949,0.129110976919,0.273248444024,1.37369960953,-0.464442,-0.071691,1.127533,-0.503697,-0.084813,1.059754,-0.448539,-0.074671,1.067395,-0.406887,-0.064462,1.094314,87.8216968592
20,4112,34.266667,-0.121380589746,0.242629657572,0.239970227787,0.932100794698,0.199767898617,-0.380513461767,1.16277698472,0.233662,0.014315,0.897991,0.260184,0.032181,0.911828,0.200507,0.025143,0.946415,0.181618,-0.011135,0.887505,-0.0114796208962,0.129702060607,0.987293064639,-0.091093349339,0.193718911719,-0.120993287597,0.619657911158,-0.086456,0.15968,0.368588,-0.047534,0.165584,0.338905,-0.098237,0.155992,0.26837,0.85980405834,0.115572413998,0.125585050633,0.481257097031,0.132458289563,0.267685932671,1.37176809016,-0.459812,-0.068241,1.125938,-0.499448,-0.081169,1.058343,-0.444154,-0.071615,1.065757,-0.402297,-0.061773,1.092494,87.9574638433
21,4113,34.275,-0.123120028176,0.242406123083,0.243428599569,0.931033429618,0.198530144284,-0.385109299697,1.16399949056,0.238867,0.013501,0.899314,0.265224,0.031576,0.913196,0.205546,0.024072,0.947681,0.187043,-0.012359,0.888743,-0.0390269639239,0.475200282341,0.875817048606,-0.0748737946172,0.195878906665,-0.101948602533,0.619485419025,-0.13804,0.156287,0.358885,-0.089424,0.163294,0.363147,-0.080659,0.16445,0.2762,0.861618694905,0.111691037317,0.120135305416,0.480318483056,0.135717409703,0.261927296974,1.36947916717,-0.455104,-0.064726,1.124261,-0.495104,-0.077599,1.05687,-0.439675,-0.068668,1.064055,-0.397619,-0.059167,1.090602,88.1755049645
22,4114,34.283333,-0.126179725725,0.241631929697,0.24768193801,0.929702288343,0.197235309794,-0.38984435165,1.16549941295,0.244344,0.012717,0.900903,0.270464,0.031043,0.914901,0.210743,0.022886,0.949163,0.192826,-0.013659,0.890114,-0.0621004023755,0.758172533829,0.646754425636,-0.0550151060367,0.197982932955,-0.0836894970167,0.61915825573,-0.174836,0.15529,0.32871,-0.141527,0.159685,0.364793,-0.077527,0.170136,0.306204,0.863135489075,0.1068353419,0.114894237323,0.479981928253,0.139052929602,0.255875769582,1.3671447258,-0.450311,-0.061211,1.122396,-0.490622,-0.073858,1.055149,-0.435062,-0.065651,1.06218,-0.392826,-0.056598,1.088596,88.1053254217
23,4115,34.291667,-0.130245537752,0.239623646614,0.252204490869,0.928444668607,0.196070531121,-0.394923067706,1.16746732861,0.250226,0.012042,0.902792,0.276068,0.030611,0.916986,0.216285,0.02163,0.950932,0.199066,-0.01488,0.891655,-0.0798970891981,0.939598342424,0.331516984957,-0.0294601211272,0.200569563187,-0.0663816473571,0.61868513113,-0.186574,0.158529,0.293446,-0.185632,0.157508,0.34273,-0.099489,0.172246,0.342682,0.865086416859,0.101733569219,0.108623617376,0.479037244907,0.142308729022,0.249649428237,1.36453650082,-0.445403,-0.057664,1.12043,-0.486127,-0.070144,1.0534,-0.430427,-0.062728,1.060194,-0.38797,-0.054138,1.086411,88.3969289665
24,4116,34.3,-0.13466140597,0.237628874014,0.256279521168,0.927210672397,0.194981404412,-0.400623354,1.16969405542,0.256637,0.011405,0.904969,0.282198,0.030191,0.919386,0.222328,0.020417,0.952959,0.205834,-0.016021,0.893433,-0.0817597942277,0.996229578491,-0.028833570068,0.00325395512469,0.202571627029,-0.0495304480473,0.618464954909,-0.175604,0.165563,0.271551,-0.207495,0.158924,0.30856,-0.14356,0.169294,0.367234,0.867931042144,0.0962838902794,0.102266012922,0.476410307567,0.145450935364,0.243372839573,1.36183882034,-0.440274,-0.054188,1.118398,-0.481669,-0.066494,1.051748,-0.425813,-0.059899,1.058095,-0.383039,-0.05179,1.083949,88.5667024497
25,4117,34.308333,-0.138730763647,0.235861743629,0.259243634918,0.926237416036,0.193987509617,-0.407073617684,1.17202004691,0.263595,0.010739,0.907262,0.288916,0.029679,0.921896,0.228949,0.019265,0.955099,0.213088,-0.017064,0.895334,-0.0764698833521,0.918646309142,-0.386127085743,0.0338701829953,0.205048105729,-0.0343628614169,0.619464226931,-0.15608,0.17391,0.275109,-0.204159,0.164464,0.280586,-0.195778,0.165507,0.367572,0.871459965616,0.0903406329986,0.0961502199674,0.472388858418,0.148550483952,0.237102729597,1.35921390764,-0.435005,-0.050764,1.116388,-0.477285,-0.062829,1.050251,-0.421267,-0.057089,1.055977,-0.378102,-0.049503,1.081334,88.7700589313
26,4118,34.316667,-0.143097127102,0.23495590848,0.261628669914,0.92513208374,0.192890124972,-0.414288497267,1.17428409188,0.271176,0.009958,0.909683,0.296259,0.029042,0.92454,0.236145,0.018099,0.957305,0.220957,-0.018179,0.897335,-0.0628318797941,0.716626256433,-0.692068801289,0.059495695261,0.207756281229,-0.0200851179173,0.622389662354,-0.146519,0.180739,0.303447,-0.185567,0.172552,0.274481,-0.237191,0.163543,0.344422,0.875398432232,0.0839350118762,0.0903838274675,0.467400537398,0.151599476343,0.230881416651,1.35664017839,-0.429683,-0.047417,1.114354,-0.472987,-0.059154,1.048824,-0.416815,-0.054302,1.053813,-0.373215,-0.047284,1.078582,88.82682856
27,4119,34.325,-0.146728850821,0.234156918315,0.262876757765,0.92441170058,0.191838136814,-0.422278213519,1.17673704498,0.279339,0.009075,0.912251,0.304244,0.028234,0.927308,0.243989,0.016925,0.959687,0.229324,-0.019261,0.89953,0.03050366422,-0.418379749694,0.904280288893,-0.0794044749023,0.209804993124,-0.00559809974572,0.625736815968,-0.159947,0.182654,0.343246,-0.169589,0.180249,0.294954,-0.254165,0.165455,0.311258,0.879576338865,0.0779097189525,0.0843380256024,0.461695394432,0.154536700738,0.22481069293,1.35384623154,-0.42437,-0.044106,1.112208,-0.468769,-0.055581,1.047367,-0.412463,-0.051592,1.051541,-0.368414,-0.045106,1.075653,89.0524255034
