,Unnamed: 0_level_0,Unnamed: 1_level_0,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,rot_velocity
,Unnamed: 0_level_1,Unnamed: 1_level_1,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,
,Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,
10,21130,176.083333,0.841896913484,0.0180312234226,-0.0143429543492,0.539146308258,0.640266636922,-0.0472394447951,1.03048993976,0.0039648853458,0.634633451006,0.770664972903,0.0574470372581,0.676889657989,-0.000484426843236,0.312761481394,0.575842340535,0.0808633220266,-0.0219040480458,0.813256991779,0.658806503154,0.0321800591231,1.01962469146,125.975989756
11,21131,176.091667,0.841765304294,0.0183465911525,-0.0122364819199,0.539393032574,0.64041135845,-0.0465475342035,1.0310130358,0.0328269150332,0.935153056432,0.348657604317,0.0533763023033,0.677550841936,-0.000292402658964,0.312863615197,0.575592853622,0.0793621510351,-0.0210350182117,0.813604353388,0.658827814027,0.0321117124081,1.02012942964,125.573502828
12,21132,176.1,0.841604646272,0.0186294462906,-0.00970575342691,0.53968542824,0.640548313556,-0.0458051073165,1.03145837735,0.048087117984,0.984510514151,-0.165578166704,0.0317891069664,0.678131075225,-0.00102299291005,0.313646456042,0.574447774499,0.0781649817929,-0.020260019344,0.814548661291,0.658898129282,0.0319706183396,1.02051276685,125.734504639
13,21133,176.108333,0.841377567658,0.0187800579546,-0.0095579669179,0.540036798129,0.640695649779,-0.0454060122666,1.03132695615,0.0590407882006,0.770046652774,-0.635199035599,-0.00803262439975,0.678490209959,0.000657632494446,0.31530158808,0.57271262081,0.0769487699327,-0.0196526176944,0.815900064585,0.65900467584,0.0317217520839,1.02084681248,125.329631814
14,21134,176.116667,0.841370360324,0.0188451087574,-0.0102070895994,0.540033882239,0.640857099552,-0.0452029033447,1.0308838211,-0.0560858836263,-0.350388344279,0.933965315506,0.0423222315535,0.679815150763,0.0023635476664,0.31476690147,0.571319642111,0.075428493286,-0.0188960141938,0.817035708881,0.659180842961,0.0314756248717,1.02116268995,125.678456693
15,21135,176.125,0.84138184008,0.0190324798743,-0.0108562068476,0.539996765422,0.641039159344,-0.0450876503477,1.03022377337,-0.0281118584455,0.16386067582,0.984401323149,0.0575624644775,0.679722678722,0.00181056199341,0.314230770112,0.570650121207,0.073975403032,-0.0182122454333,0.817651755351,0.659391372224,0.031302597591,1.02131472802,125.75021591
16,21136,176.133333,0.841350583045,0.0193153191801,-0.0115647256257,0.540020714396,0.641271965478,-0.0450346101263,1.02932787632,0.00405223261298,0.634624727343,0.770729524128,0.056665999448,0.679613471839,0.00107353306971,0.314072974946,0.570461046884,0.0731416885043,-0.0174726031337,0.817874804313,0.659635586596,0.0312845431667,1.02117460591,125.366154246
17,21137,176.141667,0.841413195353,0.0194468499187,-0.011630491872,0.539917018044,0.641502364599,-0.0449918555808,1.02835705887,0.0321648788368,0.934334357897,0.351119731389,0.0519582760601,0.680340878816,0.00130595566965,0.313032245216,0.570370449484,0.072594376856,-0.0168828736637,0.817999129206,0.659919574107,0.0313332026078,1.02076628057,125.077344435
18,21138,176.15,0.841335660982,0.0204467048791,-0.0119988980182,0.539992837237,0.641763093539,-0.0448587475817,1.02699834503,0.0492557863743,0.985325170864,-0.160830093597,0.0290147577097,0.680876747834,0.000894934106359,0.312614647776,0.570159831756,0.0723822576146,-0.0163963872999,0.818174635098,0.660243616211,0.0314423742698,1.02017728056,125.281016177
19,21139,176.158333,0.84109549678,0.0214585633333,-0.013464723465,0.540293065455,0.642004765722,-0.0448884099479,1.02523908097,0.0578106243377,0.774097743331,-0.630399464174,-0.00520874769221,0.681030403242,0.00197963813044,0.312257614565,0.570172193582,0.0725555421206,-0.0158370754698,0.818161689407,0.660643407085,0.031654721457,1.01938200991,125.105705694
