Format Version,1.22,Take Name,Take 2020-07-16 stick_left_recalib,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,18 Jan 1970 07:52:32 +0900,Total Frames in Take,3674,Total Exported Frames,2876,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left:Marker1,stick_left:Marker1,stick_left:Marker1,stick_left:Marker2,stick_left:Marker2,stick_left:Marker2,stick_left:Marker3,stick_left:Marker3,stick_left:Marker3,stick_left:Marker4,stick_left:Marker4,stick_left:Marker4,tracker:tracking_marker_0,tracker:tracking_marker_0,tracker:tracking_marker_0
,,"554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","C6C90","C6C90","C6C90","C6C40","C6C40","C6C40","C6CA0","C6CA0","C6CA0","C6C60","C6C60","C6C60","97B71144C75E11EAC8808BD7B5C0B781","97B71144C75E11EAC8808BD7B5C0B781","97B71144C75E11EAC8808BD7B5C0B781"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
290,2.416667,-0.877670,0.028416,-0.202183,-0.433602,-0.010493,0.000754,0.047903,-0.017604,0.003219,0.088608,-0.006341,0.053091,0.027594,-0.007161,-0.003620,0.027226,-0.010857,-0.049634,0.048220,0.103682,-0.000052,0.068235
291,2.425000,-0.877681,0.028074,-0.202875,-0.433278,-0.010433,0.000904,0.048038,-0.017584,0.003333,0.088726,-0.006324,0.053263,0.027760,-0.007086,-0.003446,0.027349,-0.010719,-0.049485,0.048358,0.103720,0.000193,0.068455
292,2.433333,-0.877807,0.027866,-0.203424,-0.432779,-0.010362,0.001067,0.048143,-0.017543,0.003453,0.088822,-0.006293,0.053452,0.027915,-0.006990,-0.003266,0.027454,-0.010599,-0.049321,0.048414,0.103779,0.000454,0.068631
293,2.441667,-0.877937,0.027582,-0.203776,-0.432368,-0.010272,0.001240,0.048213,-0.017466,0.003594,0.088891,-0.006248,0.053643,0.028017,-0.006884,-0.003078,0.027522,-0.010460,-0.049146,0.048441,0.103866,0.000735,0.068722
294,2.450000,-0.878000,0.027127,-0.203974,-0.432173,-0.010161,0.001435,0.048249,-0.017352,0.003775,0.088926,-0.006192,0.053843,0.028057,-0.006770,-0.002873,0.027557,-0.010293,-0.048945,0.048465,0.103982,0.001051,0.068742
295,2.458333,-0.877926,0.026414,-0.204193,-0.432266,-0.010024,0.001652,0.048263,-0.017209,0.003996,0.088930,-0.006128,0.054063,0.028042,-0.006639,-0.002659,0.027558,-0.010079,-0.048725,0.048526,0.104118,0.001407,0.068704
296,2.466667,-0.877825,0.025728,-0.204299,-0.432461,-0.009877,0.001892,0.048240,-0.017046,0.004262,0.088907,-0.006053,0.054294,0.027978,-0.006486,-0.002430,0.027531,-0.009874,-0.048479,0.048533,0.104267,0.001812,0.068628
297,2.475000,-0.877706,0.024965,-0.204344,-0.432728,-0.009719,0.002147,0.048191,-0.016868,0.004544,0.088857,-0.005973,0.054535,0.027873,-0.006334,-0.002190,0.027491,-0.009652,-0.048219,0.048522,0.104442,0.002235,0.068522
298,2.483333,-0.877576,0.024111,-0.204484,-0.432974,-0.009546,0.002417,0.048129,-0.016679,0.004832,0.088787,-0.005884,0.054794,0.027765,-0.006169,-0.001930,0.027423,-0.009396,-0.047942,0.048517,0.104623,0.002673,0.068381
299,2.491667,-0.877576,0.023292,-0.204477,-0.433021,-0.009367,0.002688,0.048048,-0.016472,0.005114,0.088706,-0.005794,0.055064,0.027664,-0.005999,-0.001665,0.027338,-0.009145,-0.047674,0.048453,0.104815,0.003114,0.068209
300,2.500000,-0.877711,0.022415,-0.204383,-0.432838,-0.009185,0.002960,0.047957,-0.016254,0.005366,0.088629,-0.005713,0.055343,0.027573,-0.005828,-0.001382,0.027239,-0.008885,-0.047398,0.048356,0.105016,0.003560,0.068020
301,2.508333,-0.877908,0.021576,-0.204325,-0.432508,-0.009001,0.003233,0.047870,-0.016038,0.005610,0.088542,-0.005626,0.055630,0.027508,-0.005663,-0.001094,0.027150,-0.008618,-0.047128,0.048250,0.105215,0.003997,0.067822
302,2.516667,-0.878103,0.020762,-0.204384,-0.432123,-0.008825,0.003495,0.047786,-0.015841,0.005839,0.088464,-0.005551,0.055908,0.027450,-0.005493,-0.000816,0.027059,-0.008360,-0.046865,0.048141,0.105405,0.004425,0.067636
303,2.525000,-0.878280,0.019996,-0.204273,-0.431853,-0.008659,0.003750,0.047712,-0.015640,0.006072,0.088401,-0.005475,0.056173,0.027390,-0.005340,-0.000550,0.026977,-0.008127,-0.046614,0.048053,0.105587,0.004832,0.067482
304,2.533333,-0.878377,0.019303,-0.204249,-0.431699,-0.008509,0.003988,0.047656,-0.015469,0.006298,0.088351,-0.005402,0.056416,0.027335,-0.005206,-0.000304,0.026920,-0.007911,-0.046381,0.047997,0.105743,0.005209,0.067364
305,2.541667,-0.878382,0.018663,-0.204333,-0.431676,-0.008383,0.004204,0.047616,-0.015332,0.006514,0.088315,-0.005350,0.056631,0.027281,-0.005082,-0.000095,0.026885,-0.007728,-0.046164,0.047967,0.105876,0.005557,0.067274
306,2.550000,-0.878359,0.018114,-0.204373,-0.431727,-0.008283,0.004387,0.047598,-0.015221,0.006703,0.088300,-0.005309,0.056806,0.027246,-0.004991,0.000082,0.026870,-0.007580,-0.045987,0.047967,0.105979,0.005848,0.067221
307,2.558333,-0.878294,0.017674,-0.204429,-0.431853,-0.008213,0.004528,0.047607,-0.015144,0.006855,0.088313,-0.005284,0.056937,0.027231,-0.004926,0.000219,0.026880,-0.007473,-0.045853,0.048004,0.106053,0.006070,0.067200
308,2.566667,-0.878208,0.017391,-0.204381,-0.432061,-0.008171,0.004617,0.047646,-0.015096,0.006960,0.088356,-0.005264,0.057011,0.027245,-0.004902,0.000295,0.026916,-0.007411,-0.045772,0.048078,0.106102,0.006209,0.067221
309,2.575000,-0.878086,0.017251,-0.204395,-0.432308,-0.008153,0.004653,0.047715,-0.015078,0.007016,0.088424,-0.005255,0.057031,0.027286,-0.004885,0.000317,0.026992,-0.007388,-0.045741,0.048181,0.106117,0.006263,0.067288
310,2.583333,-0.877961,0.017256,-0.204409,-0.432555,-0.008158,0.004637,0.047804,-0.015089,0.007016,0.088515,-0.005254,0.056998,0.027349,-0.004892,0.000285,0.027082,-0.007401,-0.045761,0.048300,0.106109,0.006234,0.067396
311,2.591667,-0.877853,0.017459,-0.204512,-0.432718,-0.008184,0.004573,0.047903,-0.015133,0.006963,0.088612,-0.005256,0.056924,0.027435,-0.004909,0.000207,0.027186,-0.007449,-0.045826,0.048412,0.106075,0.006134,0.067544
312,2.600000,-0.877799,0.017790,-0.204628,-0.432759,-0.008227,0.004468,0.048004,-0.015197,0.006857,0.088709,-0.005263,0.056814,0.027539,-0.004946,0.000095,0.027290,-0.007519,-0.045934,0.048509,0.106025,0.005975,0.067695
313,2.608333,-0.877802,0.018222,-0.204737,-0.432683,-0.008278,0.004335,0.048096,-0.015268,0.006712,0.088794,-0.005272,0.056688,0.027650,-0.004983,-0.000042,0.027387,-0.007607,-0.046067,0.048582,0.105961,0.005765,0.067843
314,2.616667,-0.877903,0.018700,-0.204827,-0.432415,-0.008329,0.004185,0.048183,-0.015340,0.006530,0.088878,-0.005277,0.056547,0.027777,-0.005027,-0.000177,0.027473,-0.007690,-0.046214,0.048629,0.105895,0.005527,0.067984
315,2.625000,-0.878090,0.019160,-0.204941,-0.431961,-0.008383,0.004035,0.048268,-0.015415,0.006336,0.088964,-0.005298,0.056421,0.027925,-0.005067,-0.000302,0.027551,-0.007774,-0.046366,0.048657,0.105831,0.005298,0.068127
316,2.633333,-0.878339,0.019630,-0.205109,-0.431353,-0.008426,0.003904,0.048362,-0.015481,0.006151,0.089058,-0.005305,0.056317,0.028104,-0.005099,-0.000402,0.027641,-0.007836,-0.046495,0.048677,0.105777,0.005097,0.068295
317,2.641667,-0.878625,0.020026,-0.205380,-0.430623,-0.008452,0.003801,0.048468,-0.015534,0.005979,0.089164,-0.005310,0.056250,0.028299,-0.005103,-0.000471,0.027748,-0.007870,-0.046592,0.048695,0.105732,0.004942,0.068479
