,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:tracking_marker_0,tracker:tracking_marker_0,tracker:tracking_marker_0
,,"803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","C6B60","C6B60","C6B60","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,0.266667,0.956033,0.038919,-0.010631,-0.290471,-0.005972,0.007218,0.047287,-0.002555,-0.032977,0.028863,-0.006510,0.014594,0.014618,-0.008853,0.040042,0.098374,,,,,,
33,0.275000,0.956086,0.038896,-0.010661,-0.290299,-0.005968,0.007233,0.047283,-0.002552,-0.032971,0.028871,-0.006507,0.014598,0.014613,-0.008845,0.040078,0.098359,,,,,,
34,0.283333,0.956144,0.038883,-0.010707,-0.290108,-0.005966,0.007251,0.047278,-0.002552,-0.032962,0.028881,-0.006508,0.014604,0.014610,-0.008839,0.040116,0.098339,,,,,,
35,0.291667,0.956194,0.038851,-0.010757,-0.289945,-0.005964,0.007267,0.047275,-0.002553,-0.032953,0.028892,-0.006509,0.014610,0.014607,-0.008831,0.040149,0.098321,,,,,,
36,0.300000,0.956241,0.038834,-0.010756,-0.289793,-0.005967,0.007280,0.047271,-0.002557,-0.032946,0.028899,-0.006511,0.014611,0.014600,-0.008833,0.040180,0.098309,,,,,,
37,0.308333,0.956277,0.038833,-0.010744,-0.289674,-0.005968,0.007292,0.047270,-0.002557,-0.032940,0.028907,-0.006511,0.014616,0.014598,-0.008836,0.040206,0.098300,,,,,,
38,0.316667,0.956305,0.038846,-0.010746,-0.289580,-0.005968,0.007302,0.047271,-0.002556,-0.032934,0.028918,-0.006511,0.014620,0.014597,-0.008837,0.040224,0.098294,,,,,,
39,0.325000,0.956327,0.038837,-0.010706,-0.289510,-0.005970,0.007308,0.047272,-0.002558,-0.032929,0.028926,-0.006510,0.014622,0.014596,-0.008841,0.040236,0.098289,,,,,,
40,0.333333,0.956331,0.038819,-0.010720,-0.289498,-0.005968,0.007311,0.047272,-0.002558,-0.032927,0.028925,-0.006509,0.014624,0.014598,-0.008837,0.040242,0.098288,,,,,,
41,0.341667,0.956315,0.038816,-0.010701,-0.289552,-0.005965,0.007308,0.047274,-0.002555,-0.032928,0.028925,-0.006505,0.014625,0.014599,-0.008834,0.040231,0.098294,,,,,,
