Format Version,1.22,Take Name,Take 2020-07-16 stick_left_downward_calib,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,18 Jan 1970 09:19:35 +0900,Total Frames in Take,3068,Total Exported Frames,2372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left
,,"554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
112,0.933333,-0.640324,-0.455366,0.454273,-0.419837,-0.002601,0.007553,0.104385
113,0.941667,-0.642358,-0.454868,0.452786,-0.418875,-0.002502,0.007590,0.104491
114,0.950000,-0.642376,-0.454920,0.452703,-0.418880,-0.002479,0.007603,0.104498
115,0.958333,-0.642316,-0.454984,0.452700,-0.418907,-0.002461,0.007610,0.104500
116,0.966667,-0.642110,-0.455205,0.452607,-0.419082,-0.002439,0.007632,0.104502
117,0.975000,-0.642050,-0.455227,0.452690,-0.419062,-0.002430,0.007626,0.104500
118,0.983333,-0.642055,-0.455252,0.452671,-0.419047,-0.002425,0.007626,0.104500
119,0.991667,-0.641979,-0.455282,0.452738,-0.419059,-0.002420,0.007625,0.104498
120,1.000000,-0.641899,-0.455505,0.452474,-0.419223,-0.002396,0.007641,0.104504
121,1.008333,-0.641917,-0.455318,0.452819,-0.419026,-0.002410,0.007621,0.104496
122,1.016667,-0.641736,-0.455576,0.452650,-0.419207,-0.002377,0.007644,0.104499
123,1.025000,-0.641749,-0.455492,0.452828,-0.419085,-0.002381,0.007634,0.104495
124,1.033333,-0.641581,-0.455788,0.452588,-0.419279,-0.002349,0.007652,0.104501
125,1.041667,-0.639334,-0.456502,0.454043,-0.420361,-0.002403,0.007635,0.104396
126,1.050000,-0.639289,-0.456512,0.454130,-0.420323,-0.002408,0.007621,0.104393
127,1.058333,-0.639057,-0.456848,0.453902,-0.420557,-0.002379,0.007641,0.104395
128,1.066667,-0.639007,-0.456836,0.454032,-0.420507,-0.002378,0.007628,0.104392
129,1.075000,-0.638899,-0.457032,0.453871,-0.420632,-0.002363,0.007644,0.104395
130,1.083333,-0.638881,-0.456897,0.454140,-0.420516,-0.002379,0.007619,0.104387
131,1.091667,-0.638714,-0.457178,0.453875,-0.420750,-0.002368,0.007639,0.104391
132,1.100000,-0.638706,-0.457282,0.453708,-0.420828,-0.002365,0.007638,0.104394
133,1.108333,-0.638614,-0.457398,0.453656,-0.420899,-0.002358,0.007644,0.104394
134,1.116667,-0.638815,-0.457123,0.453871,-0.420662,-0.002384,0.007613,0.104390
135,1.125000,-0.638957,-0.457101,0.453742,-0.420607,-0.002389,0.007601,0.104394
136,1.133333,-0.639058,-0.457095,0.453643,-0.420566,-0.002393,0.007588,0.104395
137,1.141667,-0.639101,-0.457002,0.453825,-0.420407,-0.002409,0.007562,0.104386
138,1.150000,-0.639289,-0.456930,0.453723,-0.420309,-0.002419,0.007537,0.104389
139,1.158333,-0.639437,-0.456844,0.453733,-0.420167,-0.002436,0.007516,0.104387
140,1.166667,-0.639496,-0.456850,0.453661,-0.420148,-0.002443,0.007502,0.104387
141,1.175000,-0.639670,-0.456703,0.453743,-0.419955,-0.002474,0.007464,0.104383
142,1.183333,-0.639820,-0.456625,0.453700,-0.419859,-0.002504,0.007427,0.104381
143,1.191667,-0.639928,-0.456640,0.453552,-0.419837,-0.002528,0.007403,0.104381
144,1.200000,-0.640029,-0.456711,0.453301,-0.419877,-0.002552,0.007379,0.104383
145,1.208333,-0.640127,-0.456799,0.453013,-0.419942,-0.002578,0.007360,0.104384
146,1.216667,-0.640388,-0.456466,0.453224,-0.419679,-0.002636,0.007299,0.104378
147,1.225000,-0.640387,-0.456695,0.452822,-0.419864,-0.002642,0.007303,0.104382
148,1.233333,-0.637831,-0.456760,0.456398,-0.419813,-0.002610,0.007359,0.104289
149,1.241667,-0.640610,-0.456422,0.452895,-0.419743,-0.002706,0.007274,0.104378
150,1.250000,-0.640920,-0.456209,0.452739,-0.419669,-0.002737,0.007255,0.104381
151,1.258333,-0.640966,-0.456173,0.452675,-0.419707,-0.002750,0.007268,0.104381
152,1.266667,-0.641173,-0.455948,0.452701,-0.419607,-0.002767,0.007265,0.104383
153,1.275000,-0.641381,-0.455625,0.452911,-0.419414,-0.002796,0.007253,0.104378
154,1.283333,-0.641438,-0.455535,0.452909,-0.419426,-0.002805,0.007259,0.104378
155,1.291667,-0.641402,-0.455483,0.452949,-0.419495,-0.002820,0.007277,0.104376
156,1.300000,-0.641327,-0.455664,0.452620,-0.419767,-0.002805,0.007308,0.104382
157,1.308333,-0.641455,-0.455291,0.452989,-0.419579,-0.002850,0.007307,0.104375
158,1.316667,-0.641440,-0.455307,0.452848,-0.419737,-0.002841,0.007340,0.104379
159,1.325000,-0.641348,-0.455212,0.453042,-0.419772,-0.002842,0.007367,0.104376
160,1.333333,-0.641204,-0.455211,0.453140,-0.419886,-0.002832,0.007400,0.104376
161,1.341667,-0.641105,-0.455240,0.453131,-0.420016,-0.002817,0.007433,0.104376
162,1.350000,-0.641042,-0.455198,0.453244,-0.420036,-0.002811,0.007451,0.104376
163,1.358333,-0.638239,-0.455369,0.457008,-0.420041,-0.002731,0.007539,0.104282
164,1.366667,-0.638132,-0.455288,0.457285,-0.419989,-0.002727,0.007547,0.104276
